"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";7058.5809;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";7026.668363;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";8911.81901122683;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";8408.39105201953;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";8771.205421875;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";7578.1316;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"CHN";"-";"Emissions|CO2";8937.96033834495;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";6457.8058;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7055.509544;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8647.71826391259;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8965.2273771171;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8408.39105201953;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8771.205421875;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7751.5787;"MtCO2";2050
